"date","close","volume","open","high","low"
"2016/08/31","111.6500","1393720.0000","111.8800","111.9000","111.2000"
"2016/08/30","111.9700","1534618.0000","112.1600","112.3000","111.6600"
"2016/08/29","112.1500","1069551.0000","111.7200","112.3336","111.7000"
"2016/08/26","111.5400","1851082.0000","111.8700","112.5480","111.0500"
"2016/08/25","111.7700","1205186.0000","111.7000","112.0700","111.5500"
"2016/08/24","111.8400","2267769.0000","112.4300","112.4600","111.5910"
"2016/08/23","112.4700","3252630.0000","112.4800","112.7800","112.4400"
"2016/08/22","112.1700","1101994.0000","112.0400","112.2500","111.7700"
"2016/08/19","112.1400","1000647.0000","112.0000","112.2270","111.7250"
"2016/08/18","112.3000","972066.0000","111.9200","112.3000","111.7100"
"2016/08/17","111.9500","2791630.0000","111.8400","112.0300","111.2700"
"2016/08/16","111.8100","1228602.0000","112.2300","112.2400","111.8100"
"2016/08/15","112.4500","1442833.0000","112.2900","112.6440","112.0700"
"2016/08/12","112.0400","1542918.0000","111.9700","112.1700","111.7612"
"2016/08/11","112.1500","1378235.0000","111.9800","112.2599","111.7300"
"2016/08/10","111.5900","1259054.0000","111.9400","112.0460","111.4200"
"2016/08/09","111.9200","1032517.0000","111.9400","112.1800","111.7500"
"2016/08/08","111.8200","1238769.0000","111.9900","112.1200","111.6900"
"2016/08/05","111.8900","1379391.0000","111.4200","111.9200","111.3236"
"2016/08/04","110.9700","1113556.0000","110.8500","111.1800","110.6900"
"2016/08/03","110.8400","1353615.0000","110.3900","110.8600","110.2100"
"2016/08/02","110.4300","2473889.0000","111.1900","111.2300","109.9500"
"2016/08/01","111.2700","2093441.0000","111.4000","111.6700","111.0000"
"2016/07/29","111.4200","1638362.0000","111.0900","111.6150","110.8200"
"2016/07/28","111.1600","1945813.0000","110.8900","111.3750","110.6600"
"2016/07/27","111.0200","1977540.0000","111.4100","111.4242","110.5600"
"2016/07/26","111.1500","1432344.0000","111.0600","111.3399","110.6300"
"2016/07/25","111.0300","1394254.0000","111.2400","111.2700","110.6900"
"2016/07/22","111.3200","3546728.0000","110.9000","111.3600","110.7100"
"2016/07/21","110.7900","3393449.0000","111.1800","111.2900","110.5150"
"2016/07/20","111.2300","1135536.0000","110.6800","111.3300","110.6600"
"2016/07/19","110.6400","3154201.0000","110.6200","110.7465","110.4000"
"2016/07/18","110.8600","1359999.0000","110.6500","110.9300","110.4388"
"2016/07/15","110.5500","1384744.0000","110.8900","110.9700","110.2900"
"2016/07/14","110.6700","1561054.0000","110.7200","110.9900","110.4600"
"2016/07/13","110.1400","1485741.0000","110.4300","110.5000","109.8133"
"2016/07/12","110.2000","3222809.0000","109.8800","110.3973","109.6800"
"2016/07/11","109.2900","3868184.0000","109.1900","109.6200","109.0000"
"2016/07/08","108.8400","2361512.0000","107.9100","108.9900","107.8600"
"2016/07/07","107.1700","1669822.0000","107.3700","107.7699","106.7500"
"2016/07/06","107.2200","1767173.0000","106.2000","107.2599","105.8800"
"2016/07/05","106.5700","3019862.0000","106.9400","107.0000","106.1400"
"2016/07/01","107.3700","2938114.0000","107.1000","107.7500","107.0700"
"2016/06/30","107.1600","5552283.0000","106.0100","107.2000","105.6199"
"2016/06/29","105.7100","2635469.0000","104.6800","105.8299","104.6500"
"2016/06/28","103.8500","7569452.0000","103.0800","103.8600","102.8300"
"2016/06/27","101.9800","5217029.0000","103.2200","103.2300","101.5100"
"2016/06/24","104.0400","7370123.0000","104.1200","105.9424","103.8600"
"2016/06/23","107.9800","1617859.0000","107.4200","107.9999","107.1400"
"2016/06/22","106.5100","2002259.0000","106.8000","107.2800","106.4400"
"2016/06/21","106.7500","2248553.0000","106.8000","106.9900","106.3946"
"2016/06/20","106.5200","2403220.0000","106.9300","107.3900","106.4600"
"2016/06/17","105.8000","1713104.0000","106.1200","106.1200","105.3900"
"2016/06/16","106.1500","1884486.0000","105.3000","106.1800","104.7000"
"2016/06/15","105.8400","1841566.0000","106.1900","106.6000","105.7400"
"2016/06/14","105.9500","2170401.0000","105.9000","106.3261","105.3600"
"2016/06/13","106.6100","2378127.0000","107.1500","107.6800","106.5900"
"2016/06/10","107.5000","1666944.0000","107.7800","107.9200","107.1641"
"2016/06/09","108.6200","1743495.0000","108.4500","108.7300","108.2200"
"2016/06/08","108.8400","1286665.0000","108.6100","108.9299","108.5000"
"2016/06/07","108.4600","1271484.0000","108.3900","108.8100","108.3200"
"2016/06/06","108.2500","1782262.0000","107.8400","108.4600","107.8010"
"2016/06/03","107.6900","2502295.0000","107.7800","107.8700","106.9400"
"2016/06/02","107.9900","2112796.0000","107.4000","107.9900","107.1100"
"2016/06/01","107.6300","2679647.0000","107.0000","107.7000","106.8000"
"2016/05/31","107.3400","2570803.0000","107.5700","107.6901","106.9564"
"2016/05/27","107.3900","1691427.0000","106.9700","107.3900","106.9500"
"2016/05/26","106.9100","1803643.0000","107.0200","107.1400","106.7300"
"2016/05/25","106.9300","3267043.0000","106.5100","107.1400","106.5100"
"2016/05/24","106.1600","2409275.0000","105.2200","106.3700","105.2200"
"2016/05/23","104.7600","1662163.0000","104.9200","105.1220","104.6600"
"2016/05/20","104.8900","2005469.0000","104.5400","105.1400","104.4540"
"2016/05/19","104.0900","2616325.0000","104.0800","104.3600","103.3700"
"2016/05/18","104.5000","2797744.0000","104.2600","105.2000","103.8160"
"2016/05/17","104.5100","2792158.0000","105.2600","105.4600","104.1600"
"2016/05/16","105.4600","2069576.0000","104.5800","105.7500","104.4100"
"2016/05/13","104.4200","3754783.0000","105.0800","105.4800","104.2200"
"2016/05/12","105.3300","2469974.0000","105.8200","105.8800","104.7200"
"2016/05/11","105.3700","1531611.0000","106.0900","106.2932","105.3400"
"2016/05/10","106.3400","2400865.0000","105.5000","106.4000","105.4100"
"2016/05/09","105.0900","1747328.0000","104.8700","105.3400","104.7700"
"2016/05/06","104.9800","1757797.0000","104.1400","104.9900","104.0000"
"2016/05/05","104.6000","1616677.0000","104.9500","105.1700","104.3700"
"2016/05/04","104.6400","2579103.0000","104.7600","105.1700","104.3700"
"2016/05/03","105.2600","5172504.0000","105.6200","105.6800","104.8200"
"2016/05/02","106.3300","2546483.0000","105.8000","106.4000","105.4700"
"2016/04/29","105.5100","3067993.0000","105.8000","105.9600","104.8050"
"2016/04/28","106.1300","4834180.0000","106.6300","107.3000","105.8686"
"2016/04/27","107.0900","2268144.0000","106.6600","107.3300","106.4200"
"2016/04/26","106.8300","1746967.0000","106.7800","107.0480","106.4365"
"2016/04/25","106.5400","2088217.0000","106.5000","106.5900","106.0601"
"2016/04/22","106.8000","1893723.0000","106.5100","106.9300","106.2400"
"2016/04/21","106.6500","1675161.0000","107.2600","107.3260","106.4800"
"2016/04/20","107.1800","1958933.0000","107.2100","107.6350","106.8300"
"2016/04/19","107.0700","2103737.0000","107.0200","107.3100","106.6100"
"2016/04/18","106.7700","1764955.0000","105.7400","106.7900","105.6100"
"2016/04/15","106.0600","1622514.0000","106.1200","106.1860","105.8700"
"2016/04/14","106.1100","1666887.0000","106.2400","106.3925","105.9000"
"2016/04/13","106.1500","2864470.0000","105.5000","106.1700","105.4300"
"2016/04/12","104.9200","2358024.0000","104.1000","105.1001","103.7800"
"2016/04/11","103.9100","2275842.0000","104.6500","105.0535","103.9100"
"2016/04/08","104.2000","2337151.0000","104.5700","104.9001","103.9100"
"2016/04/07","103.9000","2134785.0000","104.5000","104.7400","103.4420"
"2016/04/06","105.1600","2571913.0000","104.0900","105.2000","103.9000"
"2016/04/05","104.0200","2572408.0000","104.3100","104.5500","103.8700"
"2016/04/04","105.0400","1847375.0000","105.4900","105.5481","104.8900"
"2016/04/01","105.4800","2994750.0000","104.3000","105.5700","103.9500"
"2016/03/31","104.8200","2230072.0000","104.9700","105.2200","104.7000"
"2016/03/30","104.9400","2258019.0000","105.0400","105.3900","104.7300"
"2016/03/29","104.5400","2925052.0000","103.1900","104.5500","102.9600"
"2016/03/28","103.3900","2103399.0000","103.5800","103.7100","103.0700"
